Date,Price,Open,High,Low,Vol.,Change %
10-Jul-20,"10,843.66","10,844.58","10,901.87","10,793.53",51.99M,-0.41%
9-Jul-20,"10,887.97","10,829.67","10,906.68","10,821.88",47.33K,0.92%
8-Jul-20,"10,788.89","10,904.66","10,929.39","10,762.10",67.07M,-0.82%
7-Jul-20,"10,878.57","10,884.70","10,893.60","10,765.49",53.78M,0.39%
6-Jul-20,"10,836.82","10,785.46","10,880.43","10,771.08",58.25M,1.21%
3-Jul-20,"10,707.56","10,702.28","10,727.45","10,662.91",51.56M,0.56%
2-Jul-20,"10,648.43","10,580.34","10,685.31","10,577.79",57.34M,1.15%
1-Jul-20,"10,527.66","10,441.10","10,543.24","10,408.77",60.99M,1.12%
30-Jun-20,"10,410.76","10,488.49","10,513.37","10,382.02",50.75K,-0.14%
29-Jun-20,"10,425.00","10,440.74","10,451.88","10,346.27",53.64M,-0.74%
26-Jun-20,"10,502.48","10,505.89","10,538.40","10,438.60",72.81M,0.83%
25-Jun-20,"10,415.93","10,334.24","10,481.61","10,321.05",68.18M,-0.07%
24-Jun-20,"10,423.50","10,658.97","10,677.14","10,399.09",88.76M,-1.53%
23-Jun-20,"10,585.58","10,459.15","10,598.76","10,422.77",243.33M,1.55%
22-Jun-20,"10,424.44","10,396.64","10,497.90","10,386.70",76.77M,0.80%
19-Jun-20,"10,341.91","10,231.55","10,366.19","10,180.74",98.75M,1.48%
18-Jun-20,"10,190.58","9,975.13","10,207.17","9,975.13",87.71M,1.81%
17-Jun-20,"10,009.08","9,982.58","10,119.23","9,957.32",61.47K,-0.19%
16-Jun-20,"10,028.55","10,116.67","10,161.82","9,852.45",90.86M,0.88%
15-Jun-20,"9,941.34","10,078.60","10,078.60","9,863.52",68.99M,-1.53%
12-Jun-20,"10,095.64","9,701.64","10,116.58","9,676.90",78.71M,0.77%
11-Jun-20,"10,018.44","10,222.70","10,230.47","10,003.60",70.07M,-2.03%
10-Jun-20,"10,226.23","10,187.46","10,252.40","10,146.46",66.88M,0.00%
9-Jun-20,"10,226.23","10,326.12","10,401.02","10,135.82",66.88K,-0.46%
8-Jun-20,"10,273.12","10,404.53","10,427.48","10,228.95",87.31M,0.21%
5-Jun-20,"10,251.64","10,206.53","10,282.30","10,146.27",71.85M,1.14%
4-Jun-20,"10,136.37","10,152.57","10,226.90","10,047.91",97.96M,-0.18%
3-Jun-20,"10,154.33","10,182.41","10,268.93","10,128.23",88.85M,0.77%
2-Jun-20,"10,076.30","9,989.48","10,087.42","9,940.84",118.95M,1.41%
1-Jun-20,"9,936.37","9,835.17","10,031.61","9,827.14",69.34M,2.46%
29-May-20,"9,697.90","9,546.11","9,712.76","9,489.92",81.60M,1.15%
28-May-20,"9,587.64","9,473.57","9,605.74","9,425.29",64.09M,1.88%
27-May-20,"9,410.80","9,208.08","9,424.93","9,127.24",46.21M,2.75%
26-May-20,"9,158.69","9,214.76","9,272.45","9,127.70",211.78M,-0.01%
22-May-20,"9,159.29","9,197.01","9,273.51","9,098.19",49.67M,-0.74%
21-May-20,"9,227.95","9,214.80","9,297.07","9,178.25",41.26M,0.47%
20-May-20,"9,185.18","8,989.89","9,204.88","8,989.10",44.84M,2.10%
19-May-20,"8,996.56","9,068.07","9,143.88","8,973.16",135.19M,0.59%
18-May-20,"8,943.57","9,310.78","9,310.78","8,929.27",55.65M,-3.46%
15-May-20,"9,263.88","9,328.34","9,328.34","9,187.06",43.40M,-0.18%
14-May-20,"9,280.23","9,357.53","9,410.96","9,256.86",58.40M,-2.27%
13-May-20,"9,495.33","9,727.11","9,727.92","9,460.86",87.99M,1.93%
12-May-20,"9,315.32","9,304.29","9,360.08","9,166.80",54.79M,-0.48%
11-May-20,"9,360.25","9,470.88","9,542.50","9,342.86",53.84M,0.04%
8-May-20,"9,356.93","9,474.99","9,477.43","9,344.93",39.26M,0.63%
7-May-20,"9,298.51","9,370.02","9,384.77","9,283.85",42.19M,-0.82%
6-May-20,"9,375.23","9,339.16","9,434.68","9,209.47",48.62M,0.75%
5-May-20,"9,305.34","9,528.96","9,556.77","9,290.49",51.30M,-0.93%
4-May-20,"9,392.99","9,688.94","9,688.94","9,369.93",69.42M,-5.61%
30-Apr-20,"9,951.25","9,836.66","9,973.05","9,830.96",67.22M,3.09%
29-Apr-20,"9,652.77","9,554.21","9,695.70","9,512.40",44.62M,1.71%
28-Apr-20,"9,490.49","9,508.80","9,521.59","9,375.94",41.44M,0.92%
27-Apr-20,"9,403.74","9,369.93","9,485.71","9,368.20",33.74M,1.47%
24-Apr-20,"9,267.78","9,319.77","9,407.81","9,257.58",43.16M,-1.73%
23-Apr-20,"9,430.67","9,399.56","9,465.01","9,312.40",54.71M,1.21%
22-Apr-20,"9,318.17","9,173.77","9,333.75","9,077.88",50.01M,2.20%
21-Apr-20,"9,117.63","9,186.25","9,186.25","9,058.79",47.58M,-2.96%
20-Apr-20,"9,395.55","9,534.76","9,535.24","9,369.36",58.69M,-0.09%
17-Apr-20,"9,403.81","9,437.03","9,457.97","9,232.65",59.36M,2.81%
16-Apr-20,"9,146.57","9,000.46","9,198.48","8,963.63",49.80M,0.88%
15-Apr-20,"9,066.57","9,261.74","9,384.54","9,014.37",63.06M,-0.45%
13-Apr-20,"9,107.74","9,243.97","9,243.97","9,021.14",45.62M,-1.23%
9-Apr-20,"9,221.36","9,046.72","9,238.01","9,023.89",54.89M,4.11%
8-Apr-20,"8,857.67","8,791.40","9,228.87","8,746.68",61.00M,-0.18%
7-Apr-20,"8,873.88","8,532.45","8,895.03","8,448.71",50.06M,8.48%
3-Apr-20,"8,179.94","8,436.86","8,443.29","8,156.59",42.40M,-2.01%
1-Apr-20,"8,347.45","8,692.07","8,692.08","8,294.67",38.92M,-3.71%
31-Mar-20,"8,668.98","8,594.25","8,742.73","8,425.00",47.56M,3.75%
30-Mar-20,"8,355.56","8,546.69","8,619.00","8,314.63",49.05M,-3.88%
27-Mar-20,"8,692.80","8,958.93","9,083.57","8,561.97",204.90M,-0.44%
26-Mar-20,"8,730.92","8,496.21","8,792.61","8,348.58",93.21M,4.65%
25-Mar-20,"8,343.22","7,810.28","8,401.18","7,778.19",163.13M,6.06%
24-Mar-20,"7,866.16","7,972.86","8,089.19","7,588.58",52.45M,2.38%
23-Mar-20,"7,683.09","8,203.97","8,246.35","7,658.94",46.13M,-12.96%
20-Mar-20,"8,827.11","8,421.21","8,966.99","8,281.83",77.67M,5.54%
19-Mar-20,"8,363.61","8,274.83","8,677.89","7,951.77",100.94M,-2.70%
18-Mar-20,"8,595.44","9,208.50","9,245.24","8,535.95",106.65M,-5.43%
17-Mar-20,"9,089.40","9,350.67","9,512.81","9,040.84",75.23M,-2.25%
16-Mar-20,"9,298.47","9,774.36","9,774.36","9,267.49",64.28M,-7.38%
13-Mar-20,"10,039.47","9,226.40","10,224.41","8,682.79",123.37M,3.74%
12-Mar-20,"9,677.35","10,197.71","10,197.71","9,599.11",108.11M,-8.27%
11-Mar-20,"10,549.73","10,517.67","10,650.69","10,449.06",98.23M,0.00%
9-Mar-20,"10,550.18","10,926.55","10,926.55","10,418.20",116.22M,-4.94%
6-Mar-20,"11,098.96","11,111.67","11,142.18","10,939.32",151.98M,-2.47%
5-Mar-20,"11,379.84","11,414.68","11,497.91","11,353.94",77.07M,0.19%
4-Mar-20,"11,358.32","11,450.73","11,468.55","11,189.39",65.07M,-0.55%
3-Mar-20,"11,421.33","11,337.65","11,454.07","11,263.77",59.47M,1.63%
2-Mar-20,"11,238.01","11,472.51","11,541.36","11,138.49",49.58M,-0.48%
28-Feb-20,"11,292.68","11,539.19","11,539.19","11,268.31",65.45M,-3.72%
27-Feb-20,"11,729.59","11,794.70","11,794.70","11,633.62",42.71M,-0.40%
26-Feb-20,"11,777.28","11,875.68","11,887.67","11,742.24",34.40M,-1.06%
25-Feb-20,"11,903.01","11,985.02","12,001.83","11,885.83",29.87M,-0.32%
24-Feb-20,"11,941.07","12,161.99","12,161.99","11,923.13",31.77M,-2.08%
20-Feb-20,"12,194.91","12,235.76","12,270.64","12,187.12",35.26M,-0.26%
19-Feb-20,"12,226.79","12,150.64","12,235.21","12,137.83",31.52M,1.20%
18-Feb-20,"12,081.93","12,132.03","12,132.03","11,991.51",43.52M,-0.43%
17-Feb-20,"12,134.00","12,238.36","12,252.58","12,127.23",28.18M,-0.66%
14-Feb-20,"12,215.13","12,298.40","12,356.82","12,197.83",33.41M,-0.58%
13-Feb-20,"12,286.92","12,351.65","12,351.67","12,254.48",31.79M,-0.22%
12-Feb-20,"12,313.98","12,272.95","12,351.95","12,272.85",34.70M,0.64%
11-Feb-20,"12,236.18","12,233.01","12,308.05","12,228.44",31.46M,0.49%
10-Feb-20,"12,176.27","12,257.46","12,258.61","12,138.02",39.83M,-0.56%
7-Feb-20,"12,245.44","12,296.08","12,296.08","12,220.54",42.52M,-0.21%
6-Feb-20,"12,271.40","12,235.15","12,295.91","12,206.32",48.08M,0.51%
5-Feb-20,"12,208.89","12,130.50","12,216.96","12,070.24",56.53M,1.02%
4-Feb-20,"12,086.08","11,914.10","12,093.70","11,899.88",44.07M,2.22%
3-Feb-20,"11,823.94","11,769.38","11,868.12","11,723.69",37.76M,0.48%
1-Feb-20,"11,767.64","12,095.21","12,150.92","11,737.55",37.72M,-2.61%
31-Jan-20,"12,082.99","12,235.67","12,236.92","12,068.72",37.02M,-0.69%
30-Jan-20,"12,167.07","12,326.81","12,326.81","12,146.46",30.31M,-0.91%
29-Jan-20,"12,278.24","12,245.79","12,314.18","12,245.79",27.61M,0.66%
28-Jan-20,"12,198.27","12,298.74","12,306.51","12,171.64",26.94M,-0.49%
27-Jan-20,"12,258.35","12,356.91","12,361.82","12,248.03",26.66M,-1.00%
24-Jan-20,"12,382.17","12,311.86","12,408.67","12,282.15",38.42M,0.58%
23-Jan-20,"12,310.90","12,243.34","12,318.61","12,218.29",38.73M,0.71%
22-Jan-20,"12,224.61","12,315.72","12,337.17","12,209.62",27.27M,-0.47%
21-Jan-20,"12,281.79","12,323.88","12,342.72","12,273.53",29.54M,-0.42%
20-Jan-20,"12,333.88","12,534.54","12,536.11","12,328.50",30.38M,-0.98%
17-Jan-20,"12,455.78","12,450.01","12,487.48","12,421.86",29.63M,0.02%
16-Jan-20,"12,453.44","12,461.23","12,490.04","12,417.45",28.27M,0.11%
15-Jan-20,"12,439.33","12,453.16","12,453.16","12,373.11",45.94M,-0.07%
14-Jan-20,"12,448.12","12,425.37","12,458.45","12,394.88",47.99M,0.29%
13-Jan-20,"12,412.20","12,384.68","12,417.39","12,370.83",38.28M,0.62%
10-Jan-20,"12,335.44","12,327.95","12,388.88","12,293.24",57.18M,0.33%
9-Jan-20,"12,294.53","12,218.20","12,302.80","12,210.32",37.78M,1.60%
8-Jan-20,"12,101.30","12,037.47","12,113.83","11,999.85",39.22M,-0.17%
7-Jan-20,"12,121.53","12,148.75","12,228.28","12,078.65",33.86M,0.50%
6-Jan-20,"12,061.12","12,276.04","12,276.04","12,044.04",30.68M,-1.96%
3-Jan-20,"12,302.38","12,358.37","12,358.79","12,268.84",32.11M,-0.45%
2-Jan-20,"12,357.77","12,263.86","12,363.88","12,260.32",31.26M,0.87%
1-Jan-20,"12,251.58","12,262.19","12,289.86","12,234.08",19.49M,0.13%
31-Dec-19,"12,236.19","12,331.92","12,332.02","12,218.59",28.62M,-0.67%
30-Dec-19,"12,318.93","12,341.67","12,353.17","12,281.05",25.91M,0.07%
27-Dec-19,"12,310.00","12,226.05","12,320.08","12,221.60",31.17M,0.98%
26-Dec-19,"12,190.40","12,290.20","12,290.20","12,182.81",32.80M,-0.62%
24-Dec-19,"12,266.67","12,325.73","12,331.86","12,256.93",29.29M,-0.36%
23-Dec-19,"12,311.08","12,291.96","12,338.45","12,262.53",46.14M,-0.07%
20-Dec-19,"12,319.53","12,317.87","12,336.28","12,299.51",58.62M,0.17%
19-Dec-19,"12,298.65","12,274.26","12,309.77","12,239.13",46.31M,0.24%
18-Dec-19,"12,268.64","12,251.78","12,283.02","12,210.71",37.37M,0.42%
17-Dec-19,"12,216.83","12,138.69","12,231.67","12,123.81",33.79M,0.92%
16-Dec-19,"12,105.72","12,186.35","12,190.52","12,100.41",40.36M,-0.30%
13-Dec-19,"12,141.86","12,069.09","12,154.06","12,064.56",49.24M,1.01%
12-Dec-19,"12,019.91","11,995.44","12,055.63","11,980.78",60.77M,0.58%
11-Dec-19,"11,950.77","11,916.30","11,964.09","11,875.01",75.49M,0.44%
10-Dec-19,"11,898.27","12,015.45","12,015.45","11,889.24",50.27M,-0.76%
9-Dec-19,"11,989.12","12,004.19","12,036.40","11,939.78",50.05M,0.13%
6-Dec-19,"11,973.64","12,128.75","12,128.75","11,944.71",53.81M,-0.90%
5-Dec-19,"12,082.68","12,153.25","12,156.43","12,066.49",51.43M,-0.27%
4-Dec-19,"12,115.49","12,046.49","12,124.76","12,011.29",73.85M,0.43%
3-Dec-19,"12,063.71","12,152.49","12,157.99","12,030.42",107.48M,-0.57%
2-Dec-19,"12,133.19","12,210.49","12,215.12","12,109.58",66.92M,-0.08%
29-Nov-19,"12,142.80","12,250.50","12,250.84","12,110.70",121.62M,-0.82%
28-Nov-19,"12,242.58","12,224.35","12,250.38","12,183.76",65.16M,0.49%
27-Nov-19,"12,183.46","12,157.99","12,195.83","12,136.98",52.11M,0.58%
26-Nov-19,"12,113.56","12,193.15","12,222.10","12,086.56",59.34M,-0.37%
25-Nov-19,"12,158.28","12,023.86","12,168.97","12,010.40",47.94M,1.36%
22-Nov-19,"11,995.07","12,064.39","12,064.39","11,961.85",45.07M,-0.40%
21-Nov-19,"12,043.66","12,115.08","12,118.27","12,033.16",49.05M,-0.31%
20-Nov-19,"12,081.51","12,091.62","12,119.82","12,049.43",57.35M,0.51%
19-Nov-19,"12,020.43","12,015.59","12,040.93","11,969.64",60.05M,0.41%
18-Nov-19,"11,971.84","11,999.26","12,025.70","11,954.98",50.21M,-0.02%
15-Nov-19,"11,974.71","11,992.66","12,051.84","11,963.47",50.42M,0.15%
14-Nov-19,"11,956.47","11,945.22","11,981.14","11,887.39",52.40M,0.20%
13-Nov-19,"11,932.61","12,020.86","12,054.53","11,916.68",62.59M,-0.69%
11-Nov-19,"12,015.36","12,003.57","12,033.71","11,962.85",63.49M,0.10%
8-Nov-19,"12,003.44","12,113.96","12,136.24","11,987.32",72.53M,-0.94%
7-Nov-19,"12,116.79","12,117.95","12,129.80","12,055.66",59.58M,0.41%
6-Nov-19,"12,067.21","12,029.87","12,107.07","11,959.09",65.08M,0.38%
5-Nov-19,"12,020.93","12,088.99","12,094.22","11,970.48",75.07M,-0.25%
4-Nov-19,"12,051.55","12,054.29","12,108.17","12,021.04",87.67M,0.32%
1-Nov-19,"12,012.72","12,010.70","12,044.44","11,973.43",85.51M,0.11%
31-Oct-19,"11,999.14","12,000.92","12,064.95","11,976.12",116.53M,0.36%
30-Oct-19,"11,955.95","11,957.75","11,991.23","11,896.59",174.02M,0.52%
