Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,"1,163.89","1,157.42","1,170.61","1,157.42",-,0.87%
18-Jun-20,"1,153.83","1,160.17","1,165.62","1,147.84",-,-0.73%
17-Jun-20,"1,162.32","1,151.34","1,165.54","1,151.34",-,0.87%
16-Jun-20,"1,152.24","1,124.08","1,162.88","1,124.08",-,2.98%
15-Jun-20,"1,118.87","1,113.44","1,123.22","1,094.47",-,-0.50%
12-Jun-20,"1,124.49","1,119.99","1,139.73","1,112.49",-,0.19%
11-Jun-20,"1,122.32","1,159.93","1,159.93","1,122.22",-,-4.02%
10-Jun-20,"1,169.30","1,173.95","1,181.10","1,164.85",-,-0.25%
9-Jun-20,"1,172.28","1,185.42","1,186.20","1,167.68",-,-0.98%
8-Jun-20,"1,183.88","1,184.87","1,188.93","1,174.80",-,-0.29%
5-Jun-20,"1,187.31","1,160.04","1,187.86","1,160.04",-,2.77%
4-Jun-20,"1,155.28","1,162.17","1,168.54","1,151.68",-,-0.92%
3-Jun-20,"1,166.03","1,138.62","1,167.48","1,138.62",-,2.65%
2-Jun-20,"1,135.92","1,123.87","1,138.93","1,123.87",-,1.57%
1-Jun-20,"1,118.33","1,110.74","1,119.26","1,110.74",-,1.07%
29-May-20,"1,106.44","1,120.59","1,120.59","1,105.30",-,-1.61%
28-May-20,"1,124.57","1,109.08","1,127.25","1,109.08",-,1.60%
27-May-20,"1,106.84","1,103.34","1,115.47","1,098.64",-,0.42%
26-May-20,"1,102.21","1,102.41","1,110.18","1,097.73",-,0.46%
25-May-20,"1,097.20","1,083.87","1,097.21","1,083.52",-,1.45%
22-May-20,"1,081.49","1,079.47","1,083.50","1,065.11",-,-0.28%
21-May-20,"1,084.54","1,090.38","1,093.09","1,082.54",-,-0.92%
20-May-20,"1,094.61","1,081.47","1,095.55","1,077.00",-,1.06%
19-May-20,"1,083.15","1,091.49","1,095.30","1,076.48",-,-0.63%
18-May-20,"1,090.01","1,055.66","1,091.59","1,055.66",-,4.05%
15-May-20,"1,047.60","1,048.32","1,058.77","1,045.44",-,0.39%
14-May-20,"1,043.53","1,059.32","1,059.32","1,031.09",-,-1.92%
13-May-20,"1,063.95","1,079.09","1,079.09","1,062.71",-,-1.91%
12-May-20,"1,084.68","1,079.11","1,088.28","1,077.43",-,0.28%
